timestamp,can_id,data
"2025-08-27T13-59-18.280+05:30","0x111","0x00 0x00 0x00 0x00 0x02 0x00 0x00 0x00"
"2025-08-27T13-59-18.287+05:30","0x131","0x00 0x00 0x00 0x00 0x27 0x10 0x00 0x00"
"2025-08-27T13-59-18.294+05:30","0x163","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.301+05:30","0x18F","0x00 0xFF 0xF8 0x00 0x00 0xFF 0x1F 0x00"
"2025-08-27T13-59-18.308+05:30","0x3C2","0x7F 0xFF 0xFF 0xFF 0xC8 0xCA 0xB5 0x16"
"2025-08-27T13-59-18.315+05:30","0x240","0x00 0x00 0x00 0x00 0x41 0x00 0x82 0x01"
"2025-08-27T13-59-18.323+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-18.330+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-18.339+05:30","0x26","0x4E 0x20 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.346+05:30","0x22F","0x00 0x00 0x00"
"2025-08-27T13-59-18.353+05:30","0xA2","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.361+05:30","0x161","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.368+05:30","0x2096","0x02 0x00 0x09 0x06 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.375+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-18.383+05:30","0x23","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.390+05:30","0x41","0x01 0x00 0x00 0x00 0x54 0x00 0x00 0x00"
"2025-08-27T13-59-18.397+05:30","0x42","0x00 0x10 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.405+05:30","0x43","0x00 0x01 0xFD 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.412+05:30","0x49","0x02 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.419+05:30","0x314","0x00 0x01 0x68 0x01 0xC2 0x00 0x00 0x00"
"2025-08-27T13-59-18.426+05:30","0x3C2","0x80 0x00 0x00 0x00 0xC8 0xCA 0xB5 0x16"
"2025-08-27T13-59-18.433+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-18.440+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-18.447+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-18.455+05:30","0x162","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.462+05:30","0x22F","0x00 0x00 0x00"
"2025-08-27T13-59-18.469+05:30","0x26","0x4E 0x20 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.476+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-18.484+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-18.491+05:30","0x23","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.498+05:30","0x49","0x03 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.505+05:30","0x163","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
